search_n=100, original simulation backup, loop realplay, maxQ --------------------------------
2019-02-12T15:58:47.627314  START
2019-02-12T16:12:05.742090  iter: 155, results: 0.9393939393939394
2019-02-12T16:12:07.704469  iter: 156, results: 0.9393939393939394
2019-02-12T16:12:09.571646  iter: 157, results: 0.9393939393939394
2019-02-12T16:12:11.425669  iter: 158, results: 0.9393939393939394
2019-02-12T16:12:13.194778  iter: 159, results: 0.9393939393939394
2019-02-12T16:12:15.389535  iter: 160, results: 0.9393939393939394
2019-02-12T16:12:17.124614  iter: 161, results: 0.9393939393939394
2019-02-12T16:12:18.834318  iter: 162, results: 0.9393939393939394
2019-02-12T16:12:20.942952  iter: 163, results: 0.9393939393939394
2019-02-12T16:12:22.862799  iter: 164, results: 0.9393939393939394
2019-02-12T16:12:24.571738  iter: 165, results: 0.9393939393939394
2019-02-12T16:12:26.453777  iter: 166, results: 0.9393939393939394
2019-02-12T16:12:28.333713  iter: 167, results: 0.9393939393939394
2019-02-12T16:12:30.199823  iter: 168, results: 0.9393939393939394
2019-02-12T16:12:31.932187  iter: 169, results: 0.9393939393939394
2019-02-12T16:12:33.643868  iter: 170, results: 0.9393939393939394
2019-02-12T16:12:35.456709  iter: 171, results: 0.9393939393939394
2019-02-12T16:12:37.297793  iter: 172, results: 0.9393939393939394
2019-02-12T16:12:39.099443  iter: 173, results: 0.9393939393939394
2019-02-12T16:12:40.830688  iter: 174, results: 0.9393939393939394
2019-02-12T16:12:42.522851  iter: 175, results: 0.9393939393939394
2019-02-12T16:12:44.199665  iter: 176, results: 0.9393939393939394
2019-02-12T16:12:45.911784  iter: 177, results: 0.9393939393939394
2019-02-12T16:12:47.716020  iter: 178, results: 0.9393939393939394
2019-02-12T16:12:49.677880  iter: 179, results: 0.9393939393939394
2019-02-12T16:12:51.436129  iter: 180, results: 0.9393939393939394
2019-02-12T16:12:53.224450  iter: 181, results: 0.9393939393939394
2019-02-12T16:12:55.061921  iter: 182, results: 0.9393939393939394
2019-02-12T16:12:56.727200  iter: 183, results: 0.9393939393939394
2019-02-12T16:12:58.362469  iter: 184, results: 0.9393939393939394
2019-02-12T16:13:00.229643  iter: 185, results: 0.9393939393939394
2019-02-12T16:13:02.011961  iter: 186, results: 0.9393939393939394
2019-02-12T16:13:03.790929  iter: 187, results: 0.9393939393939394
2019-02-12T16:13:05.551913  iter: 188, results: 0.9393939393939394
2019-02-12T16:13:07.199487  iter: 189, results: 0.9393939393939394
2019-02-12T16:13:09.069586  iter: 190, results: 0.9393939393939394
2019-02-12T16:13:10.729692  iter: 191, results: 0.9393939393939394
2019-02-12T16:13:12.501173  iter: 192, results: 0.9393939393939394
2019-02-12T16:13:14.234752  iter: 193, results: 0.9393939393939394
2019-02-12T16:13:15.873118  iter: 194, results: 0.9393939393939394
2019-02-12T16:13:17.531649  iter: 195, results: 0.9393939393939394
2019-02-12T16:13:19.177455  iter: 196, results: 0.9393939393939394
2019-02-12T16:13:21.034560  iter: 197, results: 0.9393939393939394
2019-02-12T16:13:22.907237  iter: 198, results: 0.9393939393939394
2019-02-12T16:13:24.761279  iter: 199, results: 0.9393939393939394
2019-02-12T16:13:26.457728  iter: 200, results: 0.9393939393939394
2019-02-12T16:13:28.091016  iter: 201, results: 0.9393939393939394
2019-02-12T16:13:29.844861  iter: 202, results: 0.9393939393939394
2019-02-12T16:13:31.866795  iter: 203, results: 0.9393939393939394
2019-02-12T16:13:33.492957  iter: 204, results: 0.9393939393939394
2019-02-12T16:13:35.130458  iter: 205, results: 0.9393939393939394
2019-02-12T16:13:36.826813  iter: 206, results: 0.9393939393939394
2019-02-12T16:13:38.515533  iter: 207, results: 0.9393939393939394
2019-02-12T16:13:40.254676  iter: 208, results: 0.9393939393939394
2019-02-12T16:13:41.935680  iter: 209, results: 0.9393939393939394
2019-02-12T16:13:43.658482  iter: 210, results: 0.9393939393939394
2019-02-12T16:13:45.381296  iter: 211, results: 0.9393939393939394
2019-02-12T16:13:47.051902  iter: 212, results: 0.9393939393939394
2019-02-12T16:13:48.762083  iter: 213, results: 0.9393939393939394
2019-02-12T16:13:50.620805  iter: 214, results: 0.9393939393939394
2019-02-12T16:13:52.412515  iter: 215, results: 0.9393939393939394
2019-02-12T16:13:54.038903  iter: 216, results: 0.9393939393939394
2019-02-12T16:13:55.670702  iter: 217, results: 0.9393939393939394
2019-02-12T16:13:57.370901  iter: 218, results: 0.9393939393939394
2019-02-12T16:13:59.354995  iter: 219, results: 0.9393939393939394
2019-02-12T16:14:01.016537  iter: 220, results: 0.9393939393939394
2019-02-12T16:14:02.795674  iter: 221, results: 0.9393939393939394
2019-02-12T16:14:04.410977  iter: 222, results: 0.9393939393939394
2019-02-12T16:14:06.317903  iter: 223, results: 0.9393939393939394
2019-02-12T16:14:08.399090  iter: 224, results: 0.9393939393939394
2019-02-12T16:14:10.181043  iter: 225, results: 0.9393939393939394
2019-02-12T16:14:11.794188  iter: 226, results: 0.9393939393939394
2019-02-12T16:14:13.569777  iter: 227, results: 0.9393939393939394
2019-02-12T16:14:15.188127  iter: 228, results: 0.9393939393939394
2019-02-12T16:14:17.000391  iter: 229, results: 0.9393939393939394
2019-02-12T16:14:18.603807  iter: 230, results: 0.9393939393939394
2019-02-12T16:14:20.290094  iter: 231, results: 0.9393939393939394
2019-02-12T16:14:22.118424  iter: 232, results: 0.9393939393939394
2019-02-12T16:14:23.743864  iter: 233, results: 0.9393939393939394
2019-02-12T16:14:25.505486  iter: 234, results: 0.9393939393939394
2019-02-12T16:14:27.190521  iter: 235, results: 0.9393939393939394
2019-02-12T16:14:28.885421  iter: 236, results: 0.9393939393939394
2019-02-12T16:14:30.745854  iter: 237, results: 0.9393939393939394
2019-02-12T16:14:32.568139  iter: 238, results: 0.9393939393939394
2019-02-12T16:14:34.214913  iter: 239, results: 0.9393939393939394
2019-02-12T16:14:35.830595  iter: 240, results: 0.9393939393939394
2019-02-12T16:14:37.569394  iter: 241, results: 0.9393939393939394
2019-02-12T16:14:39.234261  iter: 242, results: 0.9393939393939394
2019-02-12T16:14:40.925897  iter: 243, results: 0.9393939393939394
2019-02-12T16:14:42.653367  iter: 244, results: 0.9393939393939394
2019-02-12T16:14:44.244422  iter: 245, results: 0.9393939393939394
2019-02-12T16:14:45.905174  iter: 246, results: 0.9393939393939394
2019-02-12T16:14:47.514985  iter: 247, results: 0.9393939393939394
2019-02-12T16:14:49.113297  iter: 248, results: 0.9393939393939394
2019-02-12T16:14:50.772128  iter: 249, results: 0.9393939393939394
2019-02-12T16:14:52.419942  iter: 250, results: 0.9393939393939394
2019-02-12T16:14:54.000018  iter: 251, results: 0.9393939393939394
2019-02-12T16:14:55.633143  iter: 252, results: 0.9393939393939394
2019-02-12T16:14:57.344957  iter: 253, results: 0.9393939393939394
2019-02-12T16:14:59.174584  iter: 254, results: 0.9393939393939394
2019-02-12T16:15:00.981766  iter: 255, results: 0.9393939393939394
2019-02-12T16:15:02.648489  iter: 256, results: 0.9393939393939394
2019-02-12T16:15:04.384556  iter: 257, results: 0.9393939393939394
2019-02-12T16:15:06.145963  iter: 258, results: 0.9393939393939394
2019-02-12T16:15:07.911865  iter: 259, results: 0.9393939393939394
2019-02-12T16:15:09.506870  iter: 260, results: 0.9393939393939394
2019-02-12T16:15:11.305388  iter: 261, results: 0.9393939393939394
2019-02-12T16:15:12.887386  iter: 262, results: 0.9393939393939394
2019-02-12T16:15:14.478171  iter: 263, results: 0.9393939393939394
2019-02-12T16:15:16.105104  iter: 264, results: 0.9393939393939394
2019-02-12T16:15:17.715798  iter: 265, results: 0.9393939393939394
2019-02-12T16:15:19.345357  iter: 266, results: 0.9393939393939394
2019-02-12T16:15:20.970710  iter: 267, results: 0.9393939393939394
2019-02-12T16:15:22.553807  iter: 268, results: 0.9393939393939394
2019-02-12T16:15:24.239684  iter: 269, results: 0.9393939393939394
2019-02-12T16:15:26.035487  iter: 270, results: 0.9393939393939394
2019-02-12T16:15:28.556863  iter: 271, results: 0.9393939393939394
2019-02-12T16:15:30.659542  iter: 272, results: 0.9393939393939394
2019-02-12T16:15:32.232400  iter: 273, results: 0.9393939393939394
2019-02-12T16:15:33.814705  iter: 274, results: 0.9393939393939394
2019-02-12T16:15:35.467056  iter: 275, results: 0.9393939393939394
2019-02-12T16:15:37.032352  iter: 276, results: 0.9393939393939394
2019-02-12T16:15:38.580680  iter: 277, results: 0.9393939393939394
2019-02-12T16:15:40.180053  iter: 278, results: 0.9393939393939394
2019-02-12T16:15:41.768005  iter: 279, results: 0.9393939393939394
2019-02-12T16:15:43.314978  iter: 280, results: 0.9393939393939394
2019-02-12T16:15:44.979961  iter: 281, results: 0.9393939393939394
2019-02-12T16:15:46.543249  iter: 282, results: 0.9393939393939394
2019-02-12T16:15:48.415549  iter: 283, results: 0.9393939393939394
2019-02-12T16:15:50.765801  iter: 284, results: 0.9393939393939394
2019-02-12T16:15:52.778306  iter: 285, results: 0.9393939393939394
2019-02-12T16:15:54.352610  iter: 286, results: 0.9393939393939394
2019-02-12T16:15:56.043927  iter: 287, results: 0.9393939393939394
2019-02-12T16:15:57.695314  iter: 288, results: 0.9393939393939394
2019-02-12T16:15:59.299891  iter: 289, results: 0.9393939393939394
2019-02-12T16:16:00.981393  iter: 290, results: 0.9393939393939394
2019-02-12T16:16:02.638336  iter: 291, results: 0.9393939393939394
2019-02-12T16:16:04.357321  iter: 292, results: 0.9393939393939394
2019-02-12T16:16:06.117943  iter: 293, results: 0.9393939393939394
2019-02-12T16:16:07.892508  iter: 294, results: 0.9393939393939394
2019-02-12T16:16:09.543466  iter: 295, results: 0.9393939393939394
2019-02-12T16:16:11.271367  iter: 296, results: 0.9393939393939394
2019-02-12T16:16:12.850393  iter: 297, results: 0.9393939393939394
2019-02-12T16:16:14.561413  iter: 298, results: 0.9393939393939394
2019-02-12T16:16:16.158641  iter: 299, results: 0.9393939393939394
2019-02-12T16:16:17.771930  iter: 300, results: 0.9393939393939394
2019-02-12T16:16:19.592061  iter: 301, results: 0.9393939393939394
2019-02-12T16:16:21.336452  iter: 302, results: 0.9393939393939394
2019-02-12T16:16:23.042519  iter: 303, results: 0.9393939393939394
2019-02-12T16:16:24.763553  iter: 304, results: 0.9393939393939394
2019-02-12T16:16:26.361200  iter: 305, results: 0.9393939393939394
2019-02-12T16:16:28.453810  iter: 306, results: 0.9393939393939394
2019-02-12T16:16:30.158444  iter: 307, results: 0.9393939393939394
2019-02-12T16:16:31.734429  iter: 308, results: 0.9393939393939394
2019-02-12T16:16:33.592687  iter: 309, results: 0.9393939393939394
2019-02-12T16:16:35.163565  iter: 310, results: 0.9393939393939394
2019-02-12T16:16:36.724898  iter: 311, results: 0.9393939393939394
2019-02-12T16:16:38.420486  iter: 312, results: 0.9393939393939394
2019-02-12T16:16:39.957970  iter: 313, results: 0.9393939393939394
2019-02-12T16:16:41.624452  iter: 314, results: 0.9393939393939394
2019-02-12T16:16:43.415078  iter: 315, results: 0.9393939393939394
2019-02-12T16:16:44.960107  iter: 316, results: 0.9393939393939394
2019-02-12T16:16:46.480803  iter: 317, results: 0.9393939393939394
2019-02-12T16:16:48.120582  iter: 318, results: 0.9393939393939394
2019-02-12T16:16:49.823816  iter: 319, results: 0.9393939393939394
2019-02-12T16:16:51.408217  iter: 320, results: 0.9393939393939394
2019-02-12T16:16:52.962436  iter: 321, results: 0.9393939393939394
2019-02-12T16:16:54.846493  iter: 322, results: 0.9393939393939394
2019-02-12T16:16:56.649219  iter: 323, results: 0.9393939393939394
2019-02-12T16:16:58.320118  iter: 324, results: 0.9393939393939394
2019-02-12T16:16:59.905461  iter: 325, results: 0.9393939393939394
2019-02-12T16:17:01.596619  iter: 326, results: 0.9393939393939394
2019-02-12T16:17:03.270906  iter: 327, results: 0.9393939393939394
2019-02-12T16:17:05.042478  iter: 328, results: 0.9393939393939394
2019-02-12T16:17:06.899325  iter: 329, results: 0.9393939393939394
2019-02-12T16:17:09.076414  iter: 330, results: 0.9393939393939394
2019-02-12T16:17:11.083154  iter: 331, results: 0.9393939393939394
2019-02-12T16:17:13.019629  iter: 332, results: 0.9393939393939394
2019-02-12T16:17:15.041914  iter: 333, results: 0.9393939393939394
2019-02-12T16:17:16.759225  iter: 334, results: 0.9393939393939394
2019-02-12T16:17:18.373184  iter: 335, results: 0.9393939393939394
2019-02-12T16:17:19.960542  iter: 336, results: 0.9393939393939394
2019-02-12T16:17:21.565050  iter: 337, results: 0.9393939393939394
2019-02-12T16:17:23.273226  iter: 338, results: 0.9393939393939394
2019-02-12T16:17:24.853183  iter: 339, results: 0.9393939393939394
2019-02-12T16:17:26.563199  iter: 340, results: 0.9393939393939394
2019-02-12T16:17:28.129916  iter: 341, results: 0.9393939393939394
2019-02-12T16:17:29.690696  iter: 342, results: 0.9393939393939394
2019-02-12T16:17:31.297419  iter: 343, results: 0.9393939393939394
2019-02-12T16:17:32.932985  iter: 344, results: 0.9393939393939394
2019-02-12T16:17:34.564095  iter: 345, results: 0.9393939393939394
2019-02-12T16:17:36.221250  iter: 346, results: 0.9393939393939394
2019-02-12T16:17:37.962801  iter: 347, results: 0.9393939393939394
2019-02-12T16:17:39.597863  iter: 348, results: 0.9393939393939394
2019-02-12T16:17:41.152953  iter: 349, results: 0.9393939393939394
2019-02-12T16:17:42.717067  iter: 350, results: 0.9393939393939394
2019-02-12T16:17:44.258015  iter: 351, results: 0.9393939393939394
2019-02-12T16:17:45.967722  iter: 352, results: 0.9393939393939394
2019-02-12T16:18:18.387334  iter: 353, results: 0.9393939393939394
2019-02-12T16:18:20.131918  iter: 354, results: 0.9393939393939394
2019-02-12T16:18:22.057048  iter: 355, results: 0.9393939393939394
2019-02-12T16:18:23.895157  iter: 356, results: 0.9393939393939394
2019-02-12T16:18:25.587278  iter: 357, results: 0.9393939393939394
2019-02-12T16:18:27.180886  iter: 358, results: 0.9393939393939394
2019-02-12T16:18:28.808041  iter: 359, results: 0.9393939393939394
2019-02-12T16:18:30.507742  iter: 360, results: 0.9393939393939394
2019-02-12T16:18:32.115431  iter: 361, results: 0.9393939393939394
2019-02-12T16:18:33.673576  iter: 362, results: 0.9393939393939394
2019-02-12T16:18:35.360676  iter: 363, results: 0.9393939393939394
2019-02-12T16:18:36.960935  iter: 364, results: 0.9393939393939394
2019-02-12T16:18:38.508186  iter: 365, results: 0.9393939393939394
2019-02-12T16:18:40.247805  iter: 366, results: 0.9393939393939394
2019-02-12T16:18:41.774710  iter: 367, results: 0.9393939393939394
2019-02-12T16:18:43.288835  iter: 368, results: 0.9393939393939394
2019-02-12T16:18:44.836301  iter: 369, results: 0.9393939393939394
2019-02-12T16:18:46.459600  iter: 370, results: 0.9393939393939394
2019-02-12T16:18:47.984011  iter: 371, results: 0.9393939393939394
